study_accession	sample_accession	experiment_accession	run_accession	scientific_name	library_name	nominal_length	library_source	read_count	study_title	fastq_bytes	fastq_md5	fastq_ftp	sample_alias
PRJEB7866	SAMEA3143267	ERX639104	ERR694124	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	346252367;348603057	54a02f68158514b68d38c28763f156e4;a8884084fea7aa08c22ffbfeca680cdf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694124/ERR694124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694124/ERR694124_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639105	ERR694125	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351939940;353567633	ec3e791e40df630ed145859730fff9f3;34176c28bb65ac6ec0913e79088270ad	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694125/ERR694125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694125/ERR694125_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639106	ERR694126	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	2015498	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	185004744;185043595	fbe93df196ecb0ed15f01f0a0de20b42;5d60ab37ec0a0d2364e867558f300086	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694126/ERR694126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694126/ERR694126_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143269	ERX639107	ERR694127	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	349556438;352670265	6bdb0547ba89c9078268bf0154211c71;905d7ae765ae60b846ad86dab56850e7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694127/ERR694127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694127/ERR694127_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639108	ERR694128	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	365294400;369867134	b194df2657b136ed40e25863fffaf90f;511cc7b3dfda268432ff3060db06d4af	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694128/ERR694128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694128/ERR694128_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639109	ERR694129	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	346407118;352966811	260a27c27f9a7dc15b4716751f96328d;52a2b37059c0526ff665ee3af0070df1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694129/ERR694129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694129/ERR694129_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639110	ERR694130	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351227286;358370699	59ee9029aa583102b3015b29a74348d8;d515fe88099dff3d18fd8b9eec4e6d3c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694130/ERR694130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694130/ERR694130_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639111	ERR694131	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	347092291;352866966	8c4d3b76577a950230839bf5be3b48ac;45c96d2f9a04a7a4d8272db8c0788f29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694131/ERR694131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694131/ERR694131_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639112	ERR694132	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	347698994;353629731	c20fcd5fa5a23af95a4b5ba5dbfae718;7fc0b33fcdd600eb02cd35ef7ab4423d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694132/ERR694132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694132/ERR694132_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639113	ERR694133	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351814107;358231037	90b37ffcf6dc9329af76ac13252b43cc;c73fe7818e60798c762b5455ff4c1247	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694133/ERR694133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694133/ERR694133_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639114	ERR694134	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	348813312;353721281	e7678d2d172615629f4d63277cb1a536;7c3a7a37749b9acfc7de2e9c0dd6e506	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694134/ERR694134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694134/ERR694134_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639115	ERR694135	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	357903324;365312387	7766e69d10c5e152903067a83223cdb7;f513e3ed658dbbaf1644379acd2c891a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694135/ERR694135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694135/ERR694135_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639116	ERR694136	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	336648358;343644405	2d1d213e1247b8d1191ad10af97e5bd2;78b17f36164dad44b8d8da75c06236f8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694136/ERR694136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694136/ERR694136_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639117	ERR694137	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	354444999;362051200	f8f31b37fe550ecf3e4d657bd6de32e1;e53226f6d984e5e44ae68daa21b0a027	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694137/ERR694137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694137/ERR694137_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639118	ERR694138	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	339303994;344173461	b24c91e2442d422a5a2d27cad37fee38;a7e7e29bb3734df2a2bb4bf815f6d3f7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694138/ERR694138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694138/ERR694138_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639119	ERR694139	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	356164600;362761352	db60b8102580d60fc8a6e44b8158a3b2;5514dc4bd21567e70caead45d5eb809f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694139/ERR694139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694139/ERR694139_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639120	ERR694140	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	678449	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	63206199;64133199	116ab847d9830f5ae600b7a10a91df7c;e3604612ac44a6ccac8e5e60a8bbe030	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694140/ERR694140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694140/ERR694140_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639121	ERR694141	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	348190214;351225185	af147fb8d80ca90b8bd41e59bda03593;a0c638d9610137041407b4aab79b7ef7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694141/ERR694141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694141/ERR694141_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639122	ERR694142	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	367110099;366783971	87fae8295a897d949df40bccf8044af5;3d3d5a713a8586e328f5f7df315e166b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694142/ERR694142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694142/ERR694142_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639123	ERR694143	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	350456084;353832750	1efe2bdf86236c63521bc7f4e0aca86f;33f7f3517841e0cfa7d412f14e5f9beb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694143/ERR694143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694143/ERR694143_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639124	ERR694144	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	368574356;368471826	e82aa825ad453897e33825182ad4c586;98ead53535211e36f82fd2a5a30834c9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694144/ERR694144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694144/ERR694144_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639125	ERR694145	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	355553060;358577986	dd46e84a1a9edbca56c194f855910822;54daa375003d3df38a9c74fb1d56570f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694145/ERR694145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694145/ERR694145_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639126	ERR694146	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	367589377;368854770	46c8c6c467cfb68bde4413e9cff23f00;192cc51a0e2f1de3aa47462faba07939	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694146/ERR694146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694146/ERR694146_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639127	ERR694147	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	347511317;351249988	a2e6d5aaf83a2331db587ff837b466be;195b2d1f311196a8d198007ade4ddd1d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694147/ERR694147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694147/ERR694147_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639128	ERR694148	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	360515412;362758463	560016bfaab420e01c5944c1c9fcd3d8;922022c4b37e738f136409ee3383f4a6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694148/ERR694148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694148/ERR694148_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639129	ERR694149	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	345709970;349198244	3681c9efae95b18605578de710bfcad9;9828bdee2395a7424072c8260730eaa9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694149/ERR694149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694149/ERR694149_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639130	ERR694150	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	360468080;361158490	f0097361c4b93752279b5557db7ee46c;6296ed68fc63eef3071915ba53dfadbf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694150/ERR694150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694150/ERR694150_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639131	ERR694151	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	352533205;355022368	203f2159106982e4884146c01daafa21;16ed4d114dc0a97fb7bec5a82c9cc088	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694151/ERR694151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694151/ERR694151_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143269	ERX639132	ERR694152	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	2370646	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	219854312;220198293	3b2eafe2c819b5dae93d28c2d155258b;52310d81f6221b585e81852959710fdb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694152/ERR694152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694152/ERR694152_2.fastq.gz	FS896_ElGuapo_DNA
PRJEB7866	SAMEA3143271	ERX639133	ERR694153	metagenome	FS898_N3Area_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	347725797;351260894	b4d8ac5b5ddee7a483d43e2968e06798;847dc333b9515dbd0d2ef74bac98d1df	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694153/ERR694153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694153/ERR694153_2.fastq.gz	FS898_N3Area_DNA
PRJEB7866	SAMEA3143271	ERX639134	ERR694154	metagenome	FS898_N3Area_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	364766589;370062125	fbbc3c616b8eac4eda76fc6785bbd6cc;40d8465f22d3c06bc66a15d978b0921d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694154/ERR694154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694154/ERR694154_2.fastq.gz	FS898_N3Area_DNA
PRJEB7866	SAMEA3143271	ERX639135	ERR694155	metagenome	FS898_N3Area_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	338525646;345162182	f26420332a39031d262c560b635de3fe;667ef9e6220567de564511244f0cd9b8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694155/ERR694155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694155/ERR694155_2.fastq.gz	FS898_N3Area_DNA
PRJEB7866	SAMEA3143271	ERX639136	ERR694156	metagenome	FS898_N3Area_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	353850155;360789513	bd43bc608126643385cbeb25c566cd90;d55981571b6b516b117153e55092ae25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694156/ERR694156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694156/ERR694156_2.fastq.gz	FS898_N3Area_DNA
PRJEB7866	SAMEA3143271	ERX639137	ERR694157	metagenome	FS898_N3Area_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	337086623;342490631	423495e4a4cc4c955c85c1d6bf6dbdfb;101dc3bdb1135f6547fa3e22e9c8113c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694157/ERR694157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694157/ERR694157_2.fastq.gz	FS898_N3Area_DNA
PRJEB7866	SAMEA3143271	ERX639138	ERR694158	metagenome	FS898_N3Area_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	353451523;360555115	67ff7e690571c8ddd6b1044667a853fe;f2ec26e336012984939741ecba9a1195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694158/ERR694158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694158/ERR694158_2.fastq.gz	FS898_N3Area_DNA
PRJEB7866	SAMEA3143271	ERX639139	ERR694159	metagenome	FS898_N3Area_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	342973902;348005860	7686e738dafc8c46af0f234f0ed8fd9b;70eb19c61eb53de8a792d3b7b4410d9f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694159/ERR694159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694159/ERR694159_2.fastq.gz	FS898_N3Area_DNA
